6594,0
179,168
261,147
347,71
390,258
129,184
194,110
1080,173
133,210
656,10
121,26
254,172
163,190
295,0
320,186
328,290
84,93
260,2
1310,62
158,203
172,36
3557,36
32,206
81,215
1160,140
949,0
227,241
212,319
172,0
309,270
210,13
314,0
213,116
4956,33
1677,305
242,62
358,153
17,26
344,22
42793,0
0,138
1744,250
161,104
279,105
184,185
236,35
282,78
158,114
193,119
161,418
114,149
2301,0
120,228
104,195
218,101
172,31
352,185
1053,58
139,102
680,200
276,137
872,159
156,138
475,0
589,352
389,237
175,242
2343,0
286,231
139,13
548,97
86,10
335,64
426,243
362,0
167,59
716,260
267,176
881,860
356,384
8334,487
69,139
398,110
127,178
833,24
1365,487
187,163
268,234
511,187
383,134
251,0
124,256
369,192
463,185
298,148
126,139
178,48
124,140
237,96
233,138
306,77
361,35
735,0
216,0
424,206
166,239
355,110
711,347
735,34
365,148
178,58
170,99
750,118
328,158
742,105
297,255
555,62
1796,265
69,151
6326,213
769,119
86,256
1028,128
0,90
215,0
322,59
561,0
808,264
5940,387
591,87
239,73
285,125
433,291
561,430
380,7
3631,394
1358,262
224,220
202,238
154,219
282,139
184,173
3805,57
197,0
268,224
3595,574
118,316
4042,953
328,231
227,242
1560,0
359,135
62,133
158,110
402,147
115,72
815,299
213,86
2551,0
531,129
2867,0
215,85
245,251
395,143
222,218
383,147
909,0
323,102
4689,595
368,182
401,250
77,139
640,368
123,219
294,105
390,120
1563,106
202,190
179,165
188,261
283,0
206,115
176,48
213,135
343,0
144,58
7068,0
3722,196
506,0
635,366
270,24
246,107
295,85
227,138
367,159
1150,73
304,91
169,49
194,81
5,16
1059,379
2829,111
233,64
600,0
1629,276
800,133
377,114
326,107
833,30
227,63
646,261
628,590
108,134
242,250
258,114
190,74
353,303
3710,0
37,17
387,0
228,73
142,0
164,87
612,38
133,91
741,0
2906,215
181,209
641,255
101,162
262,176
265,253
141,38
16,223
323,13
2830,241
151,5
215,142
1698,219
151,170
2307,0
980,0
251,229
208,152
47,105
72,137
2019,0
3771,140
184,119
3187,266
84,0
212,82
860,260
75,92
185,55
121,247
334,115
3916,0
386,30
307,145
268,41
129,88
3144,427
289,149
163,231
985,83
104,135
212,153
291,198
200,7
118,82
237,139
1390,0
1054,0
178,175
323,186
255,209
248,251
356,116
469,74
1609,0
7718,62
594,16
497,269
1196,642
243,0
46,163
289,181
208,149
111,0
240,137
294,148
852,0
62,68
956,557
248,111
616,201
187,95
839,215
444,213
404,331
306,201
1054,157
3811,309
173,68
298,128
374,243
24869,195
399,163
151,109
375,123
187,30
1175,239
142,16
300,92
176,0
289,96
148,185
1224,151
2857,121
108,143
983,402
430,209
5279,203
202,100
175,147
1882,284
794,106
732,214
124,304
230,128
1283,241
864,232
72,105
215,29
934,53
233,85
115,134
213,85
44,167
219,154
254,128
203,0
71,145
176,91
164,148
255,272
196,133
141,180
304,109
101,92
190,152
359,355
213,0
2121,187
430,182
0,81
375,191
120,135
166,208
1040,0
102,290
209,112
193,97
81,63
1353,409
2103,0
1001,0
361,53
310,0
117,142
172,236
81,119
203,132
191,165
196,63
129,38
185,210
291,0
230,76
1399,123
271,151
228,59
619,93
417,106
1005,298
289,178
157,106
216,118
132,91
105,17
141,67
682,21
760,0
233,62
120,149
927,0
176,109
219,154
257,189
49,186
429,189
2973,219
274,206
708,596
219,114
857,0
194,228
566,156
447,152
1933,63
203,35
303,151
4414,0
377,111
3478,508
249,86
227,178
78,107
3687,109
411,111
92,166
942,102
334,182
3493,0
329,106
802,185
524,192
1258,77
1924,390
145,170
242,0
170,3
4127,0
2973,0
151,97
982,317
147,161
120,88
548,0
193,102
466,93
176,129
1533,0
1246,0
255,198
340,0
205,114
277,105
124,66
731,526
242,132
181,87
237,149
356,343
161,198
185,167
537,78
270,175
860,184
592,170
1133,191
317,0
271,3
451,267
1566,0
304,142
